# Forces      
# CofR        : (3.333300e-01 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
1             	((5.575322e-04 -9.970003e-01 -6.595939e-22) (4.420145e-04 2.325573e-04 -1.181850e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.985001e-03 2.787661e-06 3.323301e-01) (-1.162786e-06 2.210073e-06 -1.018134e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1.05          	((5.596463e-04 -9.968599e-01 -6.622165e-22) (4.434699e-04 2.334626e-04 -1.181357e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.984300e-03 2.798232e-06 3.322833e-01) (-1.167313e-06 2.217350e-06 -1.021939e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1.1           	((5.618359e-04 -9.967206e-01 -6.649112e-22) (4.449457e-04 2.343677e-04 -1.180862e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.983603e-03 2.809180e-06 3.322369e-01) (-1.171839e-06 2.224728e-06 -1.025754e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1.15          	((5.640482e-04 -9.965819e-01 -6.676261e-22) (4.464408e-04 2.352761e-04 -1.180366e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.982909e-03 2.820241e-06 3.321906e-01) (-1.176380e-06 2.232204e-06 -1.029589e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1.2           	((5.663218e-04 -9.964434e-01 -6.703995e-22) (4.479539e-04 2.361896e-04 -1.179868e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.982217e-03 2.831609e-06 3.321445e-01) (-1.180948e-06 2.239769e-06 -1.033452e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1.25          	((5.686411e-04 -9.963047e-01 -6.732222e-22) (4.494825e-04 2.371090e-04 -1.179366e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.981524e-03 2.843206e-06 3.320983e-01) (-1.185545e-06 2.247413e-06 -1.037343e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1.3           	((5.709376e-04 -9.961659e-01 -6.760317e-22) (4.510258e-04 2.380351e-04 -1.178862e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.980830e-03 2.854688e-06 3.320520e-01) (-1.190176e-06 2.255129e-06 -1.041263e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1.35          	((5.732152e-04 -9.960273e-01 -6.788246e-22) (4.525831e-04 2.389682e-04 -1.178356e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.980136e-03 2.866076e-06 3.320058e-01) (-1.194841e-06 2.262916e-06 -1.045215e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1.4           	((5.755216e-04 -9.958883e-01 -6.816504e-22) (4.541536e-04 2.399086e-04 -1.177848e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.979441e-03 2.877608e-06 3.319594e-01) (-1.199543e-06 2.270768e-06 -1.049198e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1.45          	((5.779243e-04 -9.957486e-01 -6.845715e-22) (4.557371e-04 2.408564e-04 -1.177334e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.978743e-03 2.889622e-06 3.319129e-01) (-1.204282e-06 2.278686e-06 -1.053213e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
1.5           	((5.802990e-04 -9.956087e-01 -6.874763e-22) (4.573332e-04 2.418119e-04 -1.176819e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.978043e-03 2.901495e-06 3.318662e-01) (-1.209059e-06 2.286666e-06 -1.057260e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
